Datetime,Open_Prices,Low_Prices,High_Prices,Close_Prices,Volume
2025-03-05 12:30:00,234.54,234.0,235.54,234.68,3887648
2025-03-05 13:30:00,234.67,234.1,236.55,235.75,2837195
2025-03-05 14:30:00,235.8,235.15,236.48,236.04,3103634
2025-03-05 15:30:00,236.01,235.06,236.35,235.77,0
2025-03-06 09:30:00,234.43,233.54,237.16,236.47,8965074
2025-03-06 10:30:00,236.47,236.24,237.86,236.78,4326344
2025-03-06 11:30:00,236.74,234.04,237.34,234.41,4246957
2025-03-06 12:30:00,234.4,234.06,235.43,234.29,3660287
2025-03-06 13:30:00,234.3,233.4,235.17,233.69,4333970
2025-03-06 14:30:00,233.65,233.33,236.01,235.18,4926584
2025-03-06 15:30:00,235.17,234.45,235.76,235.32,4800803
2025-03-07 09:30:00,235.1,235.06,239.43,238.31,8540305
2025-03-07 10:00:00,238.38,237.01,240.15,238.9,735573
2025-03-07 10:30:00,238.32,237.03,240.16,239.02,6445384
2025-03-07 11:00:00,238.92,237.88,239.51,239.24,665719
2025-03-07 11:30:00,239.04,237.86,239.7,239.29,6229746
2025-03-07 12:00:00,239.21,237.87,240.83,240.03,788356
2025-03-07 12:30:00,239.26,238.8,241.37,240.41,6264766
2025-03-07 13:00:00,240.05,239.38,241.37,239.43,530345
2025-03-07 13:30:00,240.43,238.57,240.91,239.65,4109056
2025-03-07 14:00:00,239.46,238.58,239.91,239.25,325792
2025-03-07 14:30:00,239.66,238.08,239.86,238.81,3265326
2025-03-07 15:00:00,239.2,237.94,239.76,239.08,659388
2025-03-07 15:30:00,238.8,237.94,239.77,239.07,4811911
2025-03-10 09:30:00,235.54,228.52,236.16,228.57,14458282
2025-03-10 10:00:00,230.18,225.36,230.41,226.19,1252356
2025-03-10 10:30:00,228.57,225.29,229.5,226.51,11882711
2025-03-10 11:00:00,226.22,225.29,227.27,226.59,826353
2025-03-10 11:30:00,226.53,224.22,227.29,225.48,6727365
2025-03-10 12:00:00,226.58,224.23,226.97,225.52,619953
2025-03-10 12:30:00,225.49,224.33,226.69,225.21,5441580
2025-03-10 13:00:00,225.51,224.33,226.09,225.86,570810
2025-03-10 13:30:00,225.24,224.87,226.98,226.58,5343796
2025-03-10 14:00:00,225.84,225.1,226.99,225.28,609928
2025-03-10 14:30:00,226.59,224.42,227.52,226.98,7127712
2025-03-10 15:00:00,225.23,224.42,228.65,227.53,1397913
2025-03-10 15:30:00,226.99,226.5,228.66,226.91,8593289
2025-03-11 09:30:00,223.81,220.01,225.84,222.52,16266066
2025-03-11 10:00:00,222.01,220.02,223.5,221.06,1243428
2025-03-11 10:30:00,222.47,220.59,222.95,221.0,7838683
2025-03-11 11:00:00,221.03,220.26,222.14,221.13,834610
